         438 function calls (424 primitive calls) in 0.001 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\site-packages\django\utils\datastructures.py:315(__getitem__)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\site-packages\django\http\response.py:189(get)
       11    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        4    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\site-packages\django\conf\__init__.py:79(__getattr__)
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\_collections_abc.py:759(get)
        4    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\sre_compile.py:432(_generate_overlap_table)
        2    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\enum.py:646(__new__)
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\site-packages\django\http\response.py:262(make_bytes)
        4    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        8    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\sre_compile.py:595(isstring)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\_collections_abc.py:409(__subclasshook__)
        2    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\site-packages\django\utils\functional.py:270(__setattr__)
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\sre_parse.py:76(__init__)
        3    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\enum.py:763(value)
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\LiorAsis\anaconda3\envs\WebDevDjango\lib\http\cookies.py:481(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


